,index,budget,genres,original_language,production_companies,release_date,revenue,runtime,title,budget_revenue_ratio
3782,3782,0,Drama Fantasy,en,"[{""name"": ""Pandora Filmproduktion"", ""id"": 254}, {""name"": ""Canal+"", ""id"": 5358}]",2012-07-02,641100,115.0,Holy Motors,inf
3333,3333,0,Horror Thriller,en,"[{""name"": ""Code Productions"", ""id"": 4897}]",1999-10-15,2400000,100.0,The Omega Code,inf
3179,3179,0,Comedy Romance,en,"[{""name"": ""Fox 2000 Pictures"", ""id"": 711}]",2003-04-16,6126237,80.0,Chasing Papi,inf
4340,4340,0,Horror Thriller,en,"[{""name"": ""Alcon Entertainment"", ""id"": 1088}, {""name"": ""FilmNation Entertainment"", ""id"": 7493}, {""name"": ""Oren Peli / Brian Witten Pictures"", ""id"": 14734}]",2012-05-24,18112929,88.0,Chernobyl Diaries,inf
2073,2073,0,Drama,en,"[{""name"": ""Lions Gate Films"", ""id"": 35}]",2010-11-05,37000000,134.0,For Colored Girls,inf
2183,2183,0,Comedy Drama Romance,en,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Egg Pictures"", ""id"": 802}, {""name"": ""PolyGram Filmed Entertainment"", ""id"": 1382}]",1995-11-02,17519169,103.0,Home for the Holidays,inf
2220,2220,0,Comedy Family,en,"[{""name"": ""Crystal Sky Worldwide"", ""id"": 4077}, {""name"": ""Triumph Films"", ""id"": 23098}]",2004-08-27,9109322,88.0,Superbabies: Baby Geniuses 2,inf
2221,2221,0,Action Comedy Crime,en,"[{""name"": ""New Line Cinema"", ""id"": 12}]",2005-09-08,12382362,83.0,The Man,inf
2231,2231,0,Comedy,en,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Happy Madison Productions"", ""id"": 2608}, {""name"": ""Pelican Productions LLC"", ""id"": 3251}]",2008-02-01,6575282,87.0,Strange Wilderness,inf
2267,2267,0,Horror Mystery Thriller,en,"[{""name"": ""The Weinstein Company"", ""id"": 308}, {""name"": ""Himen\u00f3ptero"", ""id"": 784}, {""name"": ""First Generation Films"", ""id"": 4908}, {""name"": ""Mod Producciones"", ""id"": 5444}, {""name"": ""FilmNation Entertainment"", ""id"": 7493}, {""name"": ""Telef\u00f3nica Studios"", ""id"": 29564}]",2015-10-01,17671101,106.0,Regression,inf
4274,4274,0,Horror Comedy,en,"[{""name"": ""Det Danske Filminstitut"", ""id"": 118}, {""name"": ""T\u00e9l\u00e9film Canada"", ""id"": 806}, {""name"": ""Fridthjof Film"", ""id"": 7048}, {""name"": ""Make A Move"", ""id"": 64899}]",2012-04-22,1632,79.0,Eddie: The Sleepwalking Cannibal,inf
4010,4010,0,Comedy Drama,en,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Clinica Estetico"", ""id"": 1274}, {""name"": ""Clavius Base"", ""id"": 38944}]",1996-10-04,34585416,108.0,That Thing You Do!,inf
4014,4014,0,Comedy Documentary,en,"[{""name"": ""Hartbeat Productions"", ""id"": 40268}]",2013-07-03,32230907,74.0,Kevin Hart: Let Me Explain,inf
3119,3119,0,Drama Family,en,"[{""name"": ""Rigel Entertainment"", ""id"": 5221}]",2008-12-24,140987,94.0,Free Style,inf
4023,4023,0,Drama Romance,en,"[{""name"": ""El Deseo"", ""id"": 49}, {""name"": ""Milestone Productions"", ""id"": 77}]",2003-03-07,9726954,106.0,My Life Without Me,inf
3111,3111,0,Comedy Crime,en,"[{""name"": ""Warner Bros."", ""id"": 6194}]",1994-06-09,126247,83.0,Police Academy: Mission to Moscow,inf
